shop_id,name,address,latitude,longitude,area,station,price_level,broth,richness,spice,diet,open_late,seating,group_ok,wait_level,travel_band,ramen_type,jiro_style,payment
uruchi_ult_ramen,Uruchi “ULT” Ramen,"〒111-0042 Tokyo, Taito City, Kotobuki, 2-chōme−9−１６ ワールドマンション田原町 101",35.7094737,139.7903368,asakusa,asakusa_station,low,shio,light,none,none,no,both,small,short,near,ramen,no,card_ok
halal_ramen_and_wagyu_samurai_soul,HALAL RAMEN & WAGYU 「SAMURAI SOUL」,"〒111-0032 Tokyo, Taito City, Asakusa, 2-chōme−21−９ 城所ビル 1F",35.7167917,139.7935776,asakusa,asakusa_station,low,shoyu,medium,none,halal,no,both,solo,short,near,ramen,no,card_ok
kamo_to_negi,Kamo to Negi,"2-chōme-17-9 Kaminarimon, Taito City, Tokyo 111-0034",35.7107992,139.7955684,asakusa,asakusa_station,medium,shoyu,medium,none,none,no,both,small,medium,near,ramen,no,card_ok
gyumon_halal_ramen_asakusa,Gyumon Halal Ramen Asakusa,"〒111-0032 Tokyo, Taito City, Asakusa, 6-chōme−12−５ 角田ビル 1階",35.7166971,139.7990714,asakusa,asakusa_station,medium,tonkotsu,rich,none,halal,no,bar,solo,long,near,ramen,no,cash_only
ichiryu,Ichiryu,"2-chōme-35-16 Asakusa, Taito City, Tokyo 111-0032",35.7135599,139.7978887,asakusa,asakusa_station,medium,tonkotsu,rich,none,none,no,bar,solo,medium,near,ramen,no,cash_only
tasuke,Tasuke,"1-chōme-15-10 Kaminarimon, Taito City, Tokyo 111-0034",35.7111787,139.7928983,asakusa,asakusa_station,medium,tsukemen,medium,spicy,none,no,bar,small,short,near,tsukemen,no,card_ok
ippudo,Ippudo,"〒104-0061 Tokyo, Chuo City, Ginza, 西２丁目10−２ 先 銀座インズ２ 2階",35.6746236,139.7647662,ginza,ginza_station,medium,miso,rich,spicy,none,yes,both,small,short,near,ramen,no,card_ok
wagyu_halal_ramen_noodle_ginza_restaurant_和牛_拉面_銀座_餐厅,Wagyu (Halal) Ramen Noodle Ginza Restaurant 和牛 拉面 銀座 餐厅,"3-chōme-12-7 Ginza, Chuo City, Tokyo 104-0061",35.6706577,139.7689763,ginza,ginza_station,high,other,medium,none,halal,no,both,small,short,near,both,no,card_ok
ramen_oyster_and_shell,Ramen Oyster And Shell,"〒104-0045 Tokyo, Chuo City, Tsukiji, 3-chōme−16−９ アーバンメイツビル １F",35.6662798,139.7711916,ginza,ginza_station,medium,shio,light,none,none,no,both,solo,medium,near,ramen,no,cash_only
ginza_hachigou,Ginza Hachigou,"〒104-0061 Tokyo, Chuo City, Ginza, 3-chōme−14−２ 第一はなぶさビル 1階",35.6705477,139.77015,ginza,ginza_station,medium,shoyu,medium,none,none,no,bar,group,medium,near,ramen,no,cash_only
麺_銀座おのでら_東銀座店,麺 銀座おのでら 東銀座店,"〒104-0061 Tokyo, Chuo City, Ginza, 4-chōme−8−４ 三原ビル 1F",35.6710094,139.7670005,ginza,ginza_station,low,shoyu,medium,none,none,no,table,small,short,near,both,no,card_ok
kyoto_ramen_morry_ginza,Kyoto Ramen MORRY Ginza,"〒104-0061 Tokyo, Chuo City, Ginza, 6-chōme−14−１０ コートヤードマリオット銀座東武ホテル 103",35.6685238,139.7647652,ginza,ginza_station,medium,tonkotsu,rich,none,none,no,bar,solo,medium,near,ramen,yes,card_ok
tsujita_ginza,Tsujita Ginza,"〒104-0061 Tokyo, Chuo City, Ginza, 3-chōme−8−１２ 銀座ヤマトビル １Ｆ",35.6714326,139.7673806,ginza,ginza_station,medium,tonkotsu,rich,spicy,none,no,both,group,long,near,ramen,no,cash_only
oborodzuki,Oborodzuki,"〒104-0061 Tokyo, Chuo City, Ginza, 6-chōme−4−１３ 浅黄ビル 1F",35.6712186,139.7613528,ginza,ginza_station,medium,tsukemen,medium,none,none,no,both,small,medium,near,tsukemen,no,card_ok
味噌路_六本木,味噌路 六本木,"〒106-0032 Tokyo, Minato City, Roppongi, 7-chōme−13−５ 六本木 萩原ビル 1F",35.6641452,139.7308151,roppongi,roppongi_station,medium,miso,rich,none,none,yes,bar,group,short,near,ramen,no,card_ok
satsuma_roppongi,Satsuma Roppongi,"〒106-0032 Tokyo, Minato City, Roppongi, 5-chōme−1−１０ カドガンビル, 1F",35.6623122,139.7329047,roppongi,roppongi_station,medium,other,medium,mild,halal,yes,both,small,medium,near,ramen,no,card_ok
函館麺や_一文字premium_虎ノ門店,函館麺や 一文字PREMIUM 虎ノ門店,"2-chōme-2-3 Toranomon, Minato City, Tokyo 105-0001",35.6688786,139.7463221,roppongi,roppongi_station,low,shio,light,spicy,none,yes,bar,small,short,near,ramen,no,card_ok
kuroobi_roppongi,KUROOBI Roppongi,"〒106-0032 Tokyo, Minato City, Roppongi, 4-chōme−12−５ １Ｆ",35.6644785,139.7316233,roppongi,roppongi_station,medium,shoyu,medium,none,none,yes,bar,solo,short,near,both,no,card_ok
roppongiつなぐ,ROPPONGIつなぐ,"3-chōme-11-7 Roppongi, Minato City, Tokyo 106-0032",35.66314990000001,139.7329603,roppongi,roppongi_station,medium,shoyu,medium,mild,none,yes,both,small,short,near,both,no,card_ok
ippudo_roppongi,Ippudo - Roppongi,"〒106-0032 Tokyo, Minato City, Roppongi, 4-chōme−9−１１ 第2小田切ビル 1F",35.6638163,139.7322518,roppongi,roppongi_station,medium,tonkotsu,rich,none,none,yes,bar,solo,medium,near,ramen,no,cash_only
ramen_kumamen_roppongi,Ramen Kumamen Roppongi,"〒106-0032 Tokyo, Minato City, Roppongi, 3-chōme−4−３１ レジデンシーズ １F",35.6647694,139.7358355,roppongi,roppongi_station,medium,tonkotsu,rich,none,none,yes,both,solo,short,near,ramen,no,card_ok
ramen_mozu,Ramen Mozu,"〒107-0052 Tokyo, Minato City, Akasaka, 5-chōme−3−１ Akasaka Biz Tower, B1F",35.6729853,139.7365164,roppongi,roppongi_station,medium,tsukemen,medium,none,none,yes,table,group,medium,near,tsukemen,no,cash_only
gyumon_center_gai,GYUMON Center Gai,"〒150-0042 Tokyo, Shibuya, Udagawachō, 24−６ Shibu-Bldg, 5階",35.6602299,139.6993537,shibuya,shibuya_station,low,miso,rich,mild,none,yes,bar,small,long,near,ramen,no,card_ok
gyumon_jinnan,GYUMON Jinnan,"〒150-0041 Tokyo, Shibuya, Jinnan, 1-chōme−20−８ Park Way Terrace Shibuya, 10階",35.6618266,139.6999647,shibuya,shibuya_station,medium,other,medium,none,halal,yes,table,small,medium,near,ramen,no,card_ok
oreryū_shio_ramen_tōkyū_honten,Oreryū Shio Ramen Tōkyū Honten,"2-chōme-23-1 Dōgenzaka, Shibuya, Tokyo 150-0043",35.6602654,139.6963649,shibuya,shibuya_station,medium,shio,light,spicy,none,yes,bar,small,short,near,ramen,no,cash_only
ramen_kamo_to_negi_shibuya_miyamasuzaka_branch,Ramen Kamo to Negi Shibuya Miyamasuzaka Branch,"〒150-0002 Tokyo, Shibuya, 2-chōme−19−１５ 宮益坂ビルディング 1F 103区画",35.6596654,139.7039304,shibuya,shibuya_station,low,shoyu,rich,none,none,yes,bar,small,medium,near,ramen,yes,cash_only
soba_maren_shibuya,soba MAREN Shibuya,"〒150-0044 Tokyo, Shibuya, Maruyamachō, 10−１６ SHIBUYA Limitedビル 1階",35.6593329,139.6944018,shibuya,shibuya_station,medium,shoyu,medium,none,none,yes,bar,small,short,near,ramen,no,cash_only
gyumon_halal_wagyu_ramen_shibuya,Gyumon Halal Wagyu Ramen Shibuya,"〒150-0002 Tokyo, Shibuya, 2-chōme−19−１７ 第106ビル 地下1階",35.6597321,139.704161,shibuya,shibuya_station,low,tonkotsu,rich,mild,halal,yes,bar,small,long,near,ramen,no,card_ok
ramen_makotoya,Ramen MAKOTOYA,"〒150-0042 Tokyo, Shibuya, Udagawachō, 33−１０ J+R Side J Bldg., １階",35.6609912,139.6967015,shibuya,shibuya_station,medium,tonkotsu,rich,none,none,yes,both,small,short,near,both,no,card_ok
tsujita_ebisu,Tsujita Ebisu,"〒150-0013 Tokyo, Shibuya, Ebisu, 1-chōme−7−１３ 麻仁ビル恵比寿 1階",35.6483496,139.710584,shibuya,shibuya_station,low,tsukemen,medium,none,none,yes,bar,group,short,near,both,no,card_ok
ajimaru,Ajimaru,"〒140-0001 Tokyo, Shinagawa City, Kitashinagawa, 2-chōme−23−１ ホンダビル １Ｆ",35.6181668,139.7424601,shinagawa,shinagawa_station,medium,miso,rich,none,none,no,both,group,short,near,both,no,card_ok
chisui_halal_lanzhou_beef_ramen,Chisui Halal Lanzhou Beef Ramen,"1-chōme-8-11 Ōmorikita, Ota City, Tokyo 143-0016",35.5866309,139.7277015,shinagawa,shinagawa_station,medium,other,medium,none,halal,no,both,group,short,near,ramen,no,card_ok
ひるがおex,ひるがおEX,"〒108-8611 Tokyo, Minato City, Takanawa, 4-chōme−10−１０−３０ 品川プリンスホテル",35.6283166,139.7361709,shinagawa,shinagawa_station,medium,shio,light,spicy,none,no,bar,solo,short,near,ramen,no,card_ok
ramen_hayashida_shinagawa_konanguchi,Ramen Hayashida Shinagawa Konanguchi,"2-chōme-2-14 Kōnan, Minato City, Tokyo 108-0075",35.62899549999999,139.7420859,shinagawa,shinagawa_station,medium,shoyu,medium,none,none,no,both,solo,short,near,ramen,no,card_ok
sharin_shinagawa_grand_passage,Sharin Shinagawa Grand Passage,"〒108-0075 Tokyo, Minato City, Kōnan, 2-chōme−16−３ 品川グランパサージュ1 B1",35.6266158,139.7408363,shinagawa,shinagawa_station,medium,shoyu,medium,none,none,no,both,small,short,near,both,no,card_ok
ramen_fujin,Ramen Fujin,"4-chōme-10-25 Takanawa, Minato City, Tokyo 108-0074",35.627967,139.7373598,shinagawa,shinagawa_station,medium,tonkotsu,rich,none,none,no,bar,small,short,near,ramen,no,cash_only
tokyo_tonkotsu_base_made_by_ippudo_ecute_shinagawa,Tokyo Tonkotsu Base Made by Ippudo Ecute Shinagawa,"3-chōme-26-27 Takanawa, Minato City, Tokyo 108-0074",35.628694,139.739431,shinagawa,shinagawa_station,medium,tonkotsu,rich,none,none,yes,bar,group,medium,near,ramen,no,card_ok
sharin_kitashinagawa,Sharin Kitashinagawa,"2-chōme-15-6 Kitashinagawa, Shinagawa City, Tokyo 140-0001",35.6187788,139.7410609,shinagawa,shinagawa_station,medium,tsukemen,medium,spicy,none,no,bar,small,short,near,both,no,card_ok
wagyu_halal_vegan_hamburger_steak_and_ramen_shinjuku_kabukicho_restaurant_beef_tei,Wagyu (Halal Vegan) Hamburger Steak & Ramen Shinjuku Kabukicho Restaurant Beef Tei,"〒160-0021 Tokyo, Shinjuku City, Kabukichō, 1-chōme−12−２ 第58東京ビル B2F",35.6947945,139.7024057,shinjuku,shinjuku_station,medium,miso,rich,none,halal,yes,both,solo,medium,near,ramen,no,cash_only
wagyu_halal_japanese_food_shinjuku_restaurant,Wagyu Halal Japanese Food Shinjuku Restaurant,"5-chōme-8-7 Shinjuku, Shinjuku City, Tokyo 160-0022",35.6923703,139.7089894,shinjuku,shinjuku_station,high,other,medium,none,halal,yes,bar,small,medium,near,ramen,no,cash_only
oreryū_shio_ramen_jingūmae,Oreryū Shio Ramen Jingūmae,"6-chōme-9-14 Jingūmae, Shibuya, Tokyo 150-0001",35.6673134,139.7054931,shinjuku,shinjuku_station,medium,shio,light,none,none,yes,bar,solo,medium,near,ramen,no,card_ok
dame_na_rinjin_shinjuku_tokyo,Dame Na Rinjin Shinjuku Tokyo,"1-chōme-27-2 Kabukichō, Shinjuku City, Tokyo 160-0021",35.6951599,139.7005156,shinjuku,shinjuku_station,medium,shoyu,medium,none,none,yes,bar,small,medium,near,ramen,no,cash_only
kaidashi_chukasoba_kuramu_kabukicho,Kaidashi Chukasoba Kuramu Kabukicho,"〒160-0021 Tokyo, Shinjuku City, Kabukichō, 1-chōme−15−８ 丸雄ビル 地下1階",35.69423500000001,139.7020167,shinjuku,shinjuku_station,medium,shoyu,medium,none,none,yes,bar,small,short,near,ramen,no,card_ok
ichiran_shinjuku_station_central_east_exit,ICHIRAN Shinjuku Station Central East Exit,"〒160-0022 Tokyo, Shinjuku City, Shinjuku, 3-chōme−34−１１ Peace Bldg., B1F",35.690612,139.702817,shinjuku,shinjuku_station,medium,tonkotsu,rich,none,none,yes,both,small,long,near,ramen,no,card_ok
ramen_tatsunoya_shinjuku_otakibashidōri,Ramen Tatsunoya Shinjuku Otakibashidōri,"〒160-0023 Tokyo, Shinjuku City, Nishishinjuku, 7-chōme−4−５ 冨士野ビル 1F",35.6960593,139.6983577,shinjuku,shinjuku_station,medium,tonkotsu,rich,spicy,none,yes,both,small,long,near,both,no,card_ok
tsukemen_gonokami_seisakusho_shinjuku,Tsukemen Gonokami Seisakusho Shinjuku,"〒151-0051 Tokyo, Shibuya, Sendagaya, 5-chōme−33−１６ シャトレー新宿御苑第一 1F",35.687351,139.7038616,shinjuku,shinjuku_station,medium,tsukemen,medium,none,none,yes,bar,solo,medium,near,tsukemen,no,card_ok
gyumon_ueno,GYUMON Ueno,"〒110-0015 Tokyo, Taito City, Higashiueno, 2-chōme−18−１ 群山ビル 2階",35.7098522,139.7771856,ueno,ueno_station,low,miso,rich,none,none,no,bar,small,medium,near,both,no,card_ok
halal_burger_ueno,Halal Burger Ueno,"〒110-0015 Tokyo, Taito City, Higashiueno, 1-chōme−8−３ 新大石ビル1階",35.7074916,139.7790497,ueno,ueno_station,medium,other,medium,none,halal,no,bar,group,medium,near,ramen,no,card_ok
chicken_soba_kaguraya_ueno_okachimachi_branch,Chicken Soba Kaguraya Ueno Okachimachi Branch,"〒110-0005 Tokyo, Taito City, Ueno, 4-chōme−2 ２−１ B1",35.7080999,139.7741342,ueno,ueno_station,medium,shio,light,none,none,no,table,solo,short,near,ramen,no,card_ok
らぁ麺はやし田上野御徒町,らぁ麺はやし田上野御徒町,"〒110-0005 Tokyo, Taito City, Ueno, 4-chōme−5−２ ツルヤビル",35.7087029,139.7737373,ueno,ueno_station,medium,shoyu,medium,none,none,no,both,solo,short,near,ramen,no,card_ok
牛骨拉麺_磯川_上野店,牛骨拉麺 磯川 上野店,"2-chōme-1-10 Ueno, Taito City, Tokyo 110-0005",35.7081933,139.7728996,ueno,ueno_station,medium,shoyu,medium,none,none,no,both,solo,short,near,ramen,no,card_ok
hakata_furyu_ueno,Hakata Furyu Ueno,"6-chōme-14-9 Ueno, Taito City, Tokyo 110-0005",35.7111588,139.7755635,ueno,ueno_station,low,tonkotsu,rich,none,none,no,both,solo,medium,near,both,no,card_ok
ichiran_ueno_atre,ICHIRAN Ueno (Atre),"7-chōme-1-1 Ueno, Taito City, Tokyo 110-0005",35.7124064,139.7752313,ueno,ueno_station,medium,tonkotsu,rich,none,none,yes,both,solo,long,near,ramen,no,card_ok
tsukemen_tetsu_okachimachi_ramen_yokocho,Tsukemen Tetsu Okachimachi Ramen Yokocho,"5-chōme-10-14 Ueno, Taito City, Tokyo 110-0005",35.7059355,139.7746107,ueno,ueno_station,medium,tsukemen,medium,none,none,no,table,solo,short,near,both,no,card_ok
